,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,region,averageRating,numVotes,weight_average
292,292,tt0080684,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,1980,124.0,"['Action', 'Adventure', 'Fantasy']",US,8.7,1282261.0,0.17131
3191,3191,tt0088763,Back to the Future,Back to the Future,1985,116.0,"['Adventure', 'Comedy', 'Sci-Fi']",US,8.5,1192861.0,0.1557
2261,2261,tt0086190,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,1983,131.0,"['Action', 'Adventure', 'Fantasy']",US,8.3,1046826.0,0.13342
592,592,tt0081505,The Shining,The Shining,1980,146.0,"['Drama', 'Horror']",US,8.4,1012330.0,0.13058
1129,1129,tt0082971,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,1981,115.0,"['Action', 'Adventure']",US,8.4,960289.0,0.12387
5712,5712,tt0095016,Die Hard,Die Hard,1988,132.0,"['Action', 'Thriller']",US,8.2,871509.0,0.10974
3062,3062,tt0088247,The Terminator,The Terminator,1984,107.0,"['Action', 'Sci-Fi']",US,8.1,860344.0,0.10701
2290,2290,tt0086250,Scarface,Scarface,1983,170.0,"['Crime', 'Drama']",US,8.3,834235.0,0.10633
1340,1340,tt0083658,Blade Runner,Blade Runner,1982,117.0,"['Action', 'Drama', 'Sci-Fi']",US,8.1,765199.0,0.09518
6657,6657,tt0097576,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989,127.0,"['Action', 'Adventure']",US,8.2,751134.0,0.09458
4902,4902,tt0093058,Full Metal Jacket,Full Metal Jacket,1987,116.0,"['Drama', 'War']",US,8.3,738964.0,0.09419
3887,3887,tt0090605,Aliens,Aliens,1986,137.0,"['Action', 'Adventure', 'Sci-Fi']",US,8.4,713913.0,0.09209
6389,6389,tt0096874,Back to the Future Part II,Back to the Future Part II,1989,108.0,"['Adventure', 'Comedy', 'Sci-Fi']",US,7.8,530505.0,0.06354
6102,6102,tt0095953,Rain Man,Rain Man,1988,133.0,['Drama'],US,8.0,513231.0,0.06305
6503,6503,tt0097165,Dead Poets Society,Dead Poets Society,1989,128.0,"['Comedy', 'Drama']",US,8.1,487246.0,0.06061
2743,2743,tt0087469,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984,118.0,"['Action', 'Adventure']",US,7.5,486711.0,0.05605
1780,1780,tt0084787,The Thing,The Thing,1982,109.0,"['Horror', 'Mystery', 'Sci-Fi']",US,8.2,422293.0,0.05318
5226,5226,tt0093779,The Princess Bride,The Princess Bride,1987,98.0,"['Adventure', 'Family', 'Fantasy']",US,8.0,426690.0,0.05242
2487,2487,tt0086879,Amadeus,Amadeus,1984,160.0,"['Biography', 'Drama', 'Music']",US,8.4,400008.0,0.0516
4383,4383,tt0091763,Platoon,Platoon,1986,120.0,"['Drama', 'War']",US,8.1,413479.0,0.05143
5221,5221,tt0093773,Predator,Predator,1987,107.0,"['Action', 'Adventure', 'Horror']",US,7.8,422400.0,0.05059
4494,4494,tt0092005,Stand by Me,Stand by Me,1986,89.0,"['Adventure', 'Drama']",US,8.1,402544.0,0.05007
2690,2690,tt0087332,Ghostbusters,Ghostbusters,1984,105.0,"['Action', 'Comedy', 'Fantasy']",US,7.8,413706.0,0.04955
1422,1422,tt0083866,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982,115.0,"['Adventure', 'Family', 'Sci-Fi']",US,7.9,408034.0,0.0495
3225,3225,tt0088847,The Breakfast Club,The Breakfast Club,1985,97.0,"['Comedy', 'Drama']",US,7.8,397400.0,0.0476
4529,4529,tt0092099,Top Gun,Top Gun,1986,110.0,"['Action', 'Drama']",US,6.9,432459.0,0.04582
2886,2886,tt0087843,Once Upon a Time in America,Once Upon a Time in America,1984,229.0,"['Crime', 'Drama']",US,8.3,350936.0,0.04473
547,547,tt0081398,Raging Bull,Raging Bull,1980,129.0,"['Biography', 'Drama', 'Sport']",US,8.2,353230.0,0.04448
6397,6397,tt0096895,Batman,Batman,1989,126.0,"['Action', 'Adventure']",US,7.5,377200.0,0.04344
4067,4067,tt0091042,Ferris Bueller's Day Off,Ferris Bueller's Day Off,1986,103.0,['Comedy'],US,7.8,357702.0,0.04284
6241,6241,tt0096283,My Neighbor Totoro,Tonari no Totoro,1988,86.0,"['Animation', 'Comedy', 'Family']",US,8.1,337351.0,0.04196
5418,5418,tt0094226,The Untouchables,The Untouchables,1987,119.0,"['Crime', 'Drama', 'Thriller']",US,7.9,309619.0,0.03756
5843,5843,tt0095327,Grave of the Fireflies,Hotaru no haka,1988,89.0,"['Animation', 'Drama', 'War']",US,8.5,275458.0,0.03595
5555,5555,tt0094721,Beetlejuice,Beetle Juice,1988,92.0,"['Comedy', 'Fantasy']",US,7.5,302098.0,0.03479
6024,6024,tt0095765,Cinema Paradiso,Nuovo Cinema Paradiso,1988,155.0,"['Drama', 'Romance']",US,8.5,260202.0,0.03396
752,752,tt0082096,The Boat,Das Boot,1981,149.0,"['Drama', 'War']",US,8.4,250896.0,0.03236
3380,3380,tt0089218,The Goonies,The Goonies,1985,114.0,"['Adventure', 'Comedy', 'Family']",US,7.7,273365.0,0.03232
6731,6731,tt0097757,The Little Mermaid,The Little Mermaid,1989,83.0,"['Adventure', 'Animation', 'Comedy']",US,7.6,263200.0,0.03072
289,289,tt0080678,The Elephant Man,The Elephant Man,1980,124.0,"['Biography', 'Drama']",US,8.2,241028.0,0.03035
5056,5056,tt0093409,Lethal Weapon,Lethal Weapon,1987,109.0,"['Action', 'Crime', 'Thriller']",US,7.6,259084.0,0.03024
5256,5256,tt0093870,RoboCop,RoboCop,1987,102.0,"['Action', 'Crime', 'Sci-Fi']",US,7.6,258868.0,0.03021
1456,1456,tt0083944,First Blood,First Blood,1982,93.0,"['Action', 'Adventure', 'Thriller']",US,7.7,252632.0,0.02987
1473,1473,tt0083987,Gandhi,Gandhi,1982,191.0,"['Biography', 'Drama']",US,8.1,231723.0,0.02882
151,151,tt0080339,Airplane!,Airplane!,1980,88.0,['Comedy'],US,7.7,239359.0,0.0283
2868,2868,tt0087800,A Nightmare on Elm Street,A Nightmare on Elm Street,1984,91.0,['Horror'],US,7.4,239410.0,0.02721
7083,7083,tt0098635,When Harry Met Sally...,When Harry Met Sally...,1989,95.0,"['Comedy', 'Drama', 'Romance']",US,7.7,220435.0,0.02606
2769,2769,tt0087538,The Karate Kid,The Karate Kid,1984,126.0,"['Action', 'Drama', 'Family']",US,7.3,225946.0,0.02533
2701,2701,tt0087363,Gremlins,Gremlins,1984,106.0,"['Comedy', 'Fantasy', 'Horror']",US,7.3,224124.0,0.02512
4821,4821,tt0092890,Dirty Dancing,Dirty Dancing,1987,100.0,"['Drama', 'Music', 'Romance']",US,7.0,232274.0,0.02497
5563,5563,tt0094737,Big,Big,1988,104.0,"['Comedy', 'Drama', 'Fantasy']",US,7.3,221124.0,0.02479
3224,3224,tt0088846,Brazil,Brazil,1985,132.0,"['Drama', 'Sci-Fi']",US,7.9,201140.0,0.0244
193,193,tt0080455,The Blues Brothers,The Blues Brothers,1980,133.0,"['Action', 'Adventure', 'Comedy']",US,7.9,199867.0,0.02425
1436,1436,tt0083907,The Evil Dead,The Evil Dead,1981,85.0,['Horror'],US,7.4,210184.0,0.02388
6299,6299,tt0096438,Who Framed Roger Rabbit,Who Framed Roger Rabbit,1988,104.0,"['Adventure', 'Animation', 'Comedy']",US,7.7,201701.0,0.02385
3941,3941,tt0090756,Blue Velvet,Blue Velvet,1986,120.0,"['Crime', 'Drama', 'Mystery']",US,7.7,199642.0,0.02361
5507,5507,tt0094625,Akira,Akira,1988,124.0,"['Action', 'Animation', 'Drama']",US,8.0,186431.0,0.0229
5652,5652,tt0094898,Coming to America,Coming to America,1988,117.0,"['Comedy', 'Romance']",US,7.1,208253.0,0.02271
6803,6803,tt0097958,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,1989,97.0,['Comedy'],US,7.5,187574.0,0.0216
3663,3663,tt0089927,Rocky IV,Rocky IV,1985,91.0,"['Drama', 'Sport']",US,6.8,205739.0,0.02148
4076,4076,tt0091064,The Fly,The Fly,1986,96.0,"['Drama', 'Horror', 'Sci-Fi']",US,7.6,182969.0,0.02135
1017,1017,tt0082694,The Road Warrior,Mad Max 2,1981,96.0,"['Action', 'Adventure', 'Sci-Fi']",US,7.6,181303.0,0.02116
6603,6603,tt0097428,Ghostbusters II,Ghostbusters II,1989,108.0,"['Action', 'Comedy', 'Fantasy']",US,6.6,207856.0,0.02107
5317,5317,tt0094012,Spaceballs,Spaceballs,1987,96.0,"['Adventure', 'Comedy', 'Sci-Fi']",US,7.1,190971.0,0.02082
2772,2772,tt0087544,Nausicaä of the Valley of the Wind,Kaze no tani no Naushika,1984,117.0,"['Adventure', 'Animation', 'Sci-Fi']",US,8.0,169371.0,0.02081
2522,2522,tt0086960,Beverly Hills Cop,Beverly Hills Cop,1984,105.0,"['Action', 'Comedy', 'Crime']",US,7.3,184449.0,0.02068
6348,6348,tt0096754,The Abyss,The Abyss,1989,140.0,"['Adventure', 'Drama', 'Mystery']",US,7.5,178290.0,0.02053
4512,4512,tt0092067,Castle in the Sky,Tenkû no shiro Rapyuta,1986,125.0,"['Adventure', 'Animation', 'Family']",US,8.0,166569.0,0.02046
1700,1700,tt0084602,Rocky III,Rocky III,1982,99.0,"['Drama', 'Sport']",US,6.8,191448.0,0.01999
5996,5996,tt0095705,The Naked Gun: From the Files of Police Squad!,The Naked Gun: From the Files of Police Squad!,1988,85.0,"['Comedy', 'Crime']",US,7.6,170083.0,0.01985
6721,6721,tt0097733,Lethal Weapon 2,Lethal Weapon 2,1989,114.0,"['Action', 'Crime', 'Thriller']",US,7.2,176879.0,0.01956
4867,4867,tt0092991,Evil Dead II,Evil Dead II,1987,84.0,"['Comedy', 'Horror']",US,7.7,165124.0,0.01952
1666,1666,tt0084516,Poltergeist,Poltergeist,1982,114.0,"['Horror', 'Thriller']",US,7.3,164195.0,0.01841
1936,1936,tt0085334,A Christmas Story,A Christmas Story,1983,93.0,"['Comedy', 'Family']",US,7.9,147948.0,0.01795
5439,5439,tt0094291,Wall Street,Wall Street,1987,126.0,"['Crime', 'Drama']",US,7.3,156317.0,0.01752
2380,2380,tt0086465,Trading Places,Trading Places,1983,116.0,['Comedy'],US,7.5,151905.0,0.0175
6752,6752,tt0097814,Kiki's Delivery Service,Majo no takkyûbin,1989,103.0,"['Adventure', 'Animation', 'Family']",US,7.8,144744.0,0.01734
