;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region;averageRating;numVotes;weight_average
292;tt0080684;Star Wars: Episode V - The Empire Strikes Back;The Empire Strikes Back;1980;124.0;['Action', 'Adventure', 'Fantasy'];US;8.7;1284248.0;0.17119
3192;tt0088763;Back to the Future;Back to the Future;1985;116.0;['Adventure', 'Comedy', 'Sci-Fi'];US;8.5;1195470.0;0.1557
2263;tt0086190;Star Wars: Episode VI - Return of the Jedi;Star Wars: Episode VI - Return of the Jedi;1983;131.0;['Action', 'Adventure', 'Fantasy'];US;8.3;1048354.0;0.13332
592;tt0081505;The Shining;The Shining;1980;146.0;['Drama', 'Horror'];US;8.4;1015347.0;0.13068
1130;tt0082971;Indiana Jones and the Raiders of the Lost Ark;Raiders of the Lost Ark;1981;115.0;['Action', 'Adventure'];US;8.4;961392.0;0.12374
5713;tt0095016;Die Hard;Die Hard;1988;132.0;['Action', 'Thriller'];US;8.2;872569.0;0.10963
3063;tt0088247;The Terminator;The Terminator;1984;107.0;['Action', 'Sci-Fi'];US;8.1;861545.0;0.10693
2292;tt0086250;Scarface;Scarface;1983;170.0;['Crime', 'Drama'];US;8.3;835876.0;0.1063
1341;tt0083658;Blade Runner;Blade Runner;1982;117.0;['Action', 'Drama', 'Sci-Fi'];US;8.1;766330.0;0.09511
6659;tt0097576;Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade;1989;127.0;['Action', 'Adventure'];US;8.2;751986.0;0.09448
4903;tt0093058;Full Metal Jacket;Full Metal Jacket;1987;116.0;['Drama', 'War'];US;8.3;739942.0;0.0941
3888;tt0090605;Aliens;Aliens;1986;137.0;['Action', 'Adventure', 'Sci-Fi'];US;8.4;715021.0;0.09203
6391;tt0096874;Back to the Future Part II;Back to the Future Part II;1989;108.0;['Adventure', 'Comedy', 'Sci-Fi'];US;7.8;531590.0;0.06353
6104;tt0095953;Rain Man;Rain Man;1988;133.0;['Drama'];US;8.0;513907.0;0.06299
6505;tt0097165;Dead Poets Society;Dead Poets Society;1989;128.0;['Comedy', 'Drama'];US;8.1;488407.0;0.06062
2745;tt0087469;Indiana Jones and the Temple of Doom;Indiana Jones and the Temple of Doom;1984;118.0;['Action', 'Adventure'];US;7.5;487354.0;0.05601
1781;tt0084787;The Thing;The Thing;1982;109.0;['Horror', 'Mystery', 'Sci-Fi'];US;8.2;424013.0;0.05327
5227;tt0093779;The Princess Bride;The Princess Bride;1987;98.0;['Adventure', 'Family', 'Fantasy'];US;8.0;427125.0;0.05236
2489;tt0086879;Amadeus;Amadeus;1984;160.0;['Biography', 'Drama', 'Music'];US;8.4;400490.0;0.05155
4384;tt0091763;Platoon;Platoon;1986;120.0;['Drama', 'War'];US;8.1;413997.0;0.05138
5222;tt0093773;Predator;Predator;1987;107.0;['Action', 'Adventure', 'Horror'];US;7.8;423188.0;0.05058
4495;tt0092005;Stand by Me;Stand by Me;1986;89.0;['Adventure', 'Drama'];US;8.1;403192.0;0.05004
2692;tt0087332;Ghostbusters;Ghostbusters;1984;105.0;['Action', 'Comedy', 'Fantasy'];US;7.8;415055.0;0.0496
1423;tt0083866;E.T. the Extra-Terrestrial;E.T. the Extra-Terrestrial;1982;115.0;['Adventure', 'Family', 'Sci-Fi'];US;7.9;408912.0;0.0495
3226;tt0088847;The Breakfast Club;The Breakfast Club;1985;97.0;['Comedy', 'Drama'];US;7.8;398149.0;0.04758
4530;tt0092099;Top Gun;Top Gun;1986;110.0;['Action', 'Drama'];US;6.9;434997.0;0.04599
2888;tt0087843;Once Upon a Time in America;Once Upon a Time in America;1984;229.0;['Crime', 'Drama'];US;8.3;351434.0;0.04469
547;tt0081398;Raging Bull;Raging Bull;1980;129.0;['Biography', 'Drama', 'Sport'];US;8.2;353713.0;0.04444
6399;tt0096895;Batman;Batman;1989;126.0;['Action', 'Adventure'];US;7.5;377792.0;0.04341
4068;tt0091042;Ferris Bueller's Day Off;Ferris Bueller's Day Off;1986;103.0;['Comedy'];US;7.8;358359.0;0.04283
6243;tt0096283;My Neighbor Totoro;Tonari no Totoro;1988;86.0;['Animation', 'Comedy', 'Family'];US;8.1;338042.0;0.04195
5419;tt0094226;The Untouchables;The Untouchables;1987;119.0;['Crime', 'Drama', 'Thriller'];US;7.9;310078.0;0.03753
5844;tt0095327;Grave of the Fireflies;Hotaru no haka;1988;89.0;['Animation', 'Drama', 'War'];US;8.5;276070.0;0.03596
5556;tt0094721;Beetlejuice;Beetle Juice;1988;92.0;['Comedy', 'Fantasy'];US;7.5;305301.0;0.03508
6025;tt0095765;Cinema Paradiso;Nuovo Cinema Paradiso;1988;155.0;['Drama', 'Romance'];US;8.5;260622.0;0.03394
3381;tt0089218;The Goonies;The Goonies;1985;114.0;['Adventure', 'Comedy', 'Family'];US;7.7;274101.0;0.03234
752;tt0082096;The Boat;Das Boot;1981;149.0;['Drama', 'War'];US;8.4;251152.0;0.03232
6733;tt0097757;The Little Mermaid;The Little Mermaid;1989;83.0;['Adventure', 'Animation', 'Comedy'];US;7.6;263721.0;0.03071
289;tt0080678;The Elephant Man;The Elephant Man;1980;124.0;['Biography', 'Drama'];US;8.2;241299.0;0.03032
5057;tt0093409;Lethal Weapon;Lethal Weapon;1987;109.0;['Action', 'Crime', 'Thriller'];US;7.6;259469.0;0.03021
5257;tt0093870;RoboCop;RoboCop;1987;102.0;['Action', 'Crime', 'Sci-Fi'];US;7.6;259369.0;0.0302
1457;tt0083944;First Blood;First Blood;1982;93.0;['Action', 'Adventure', 'Thriller'];US;7.7;253141.0;0.02987
1474;tt0083987;Gandhi;Gandhi;1982;191.0;['Biography', 'Drama'];US;8.1;231971.0;0.02879
151;tt0080339;Airplane!;Airplane!;1980;88.0;['Comedy'];US;7.7;239814.0;0.02829
2870;tt0087800;A Nightmare on Elm Street;A Nightmare on Elm Street;1984;91.0;['Horror'];US;7.4;240985.0;0.02732
7085;tt0098635;When Harry Met Sally...;When Harry Met Sally...;1989;95.0;['Comedy', 'Drama', 'Romance'];US;7.7;220959.0;0.02607
2771;tt0087538;The Karate Kid;The Karate Kid;1984;126.0;['Action', 'Drama', 'Family'];US;7.3;226382.0;0.02532
2703;tt0087363;Gremlins;Gremlins;1984;106.0;['Comedy', 'Fantasy', 'Horror'];US;7.3;224961.0;0.02516
4822;tt0092890;Dirty Dancing;Dirty Dancing;1987;100.0;['Drama', 'Music', 'Romance'];US;7.0;232787.0;0.02497
