tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres
tt0036606;movie;Another Time, Another Place;Another Time, Another Place;False;1983;;118.0;['Drama', 'War']
tt0038687;movie;Let There Be Light;Let There Be Light;False;1980;;58.0;['Documentary', 'War']
tt0057461;movie;La rosa de los vientos;La rosa de los vientos;False;1983;;84.0;['Drama', 'Fantasy']
tt0062181;movie;Rece do góry;Rece do góry;False;1981;;76.0;['Drama']
tt0064820;movie;The Plot Against Harry;The Plot Against Harry;False;1989;;81.0;['Comedy', 'Crime']
tt0065108;movie;Tolko tri nochi;Tolko tri nochi;False;1989;;82.0;['Drama', 'Romance']
tt0065530;movie;Le cercle des passions;Le cercle des passions;False;1983;;108.0;['Drama']
tt0066020;movie;Lucky Seven;7 xiao fu;False;1986;;80.0;['Action', 'Comedy']
tt0066151;movie;Ninja Destroyer;Ninja Destroyer;False;1986;;92.0;['Action', 'Adventure']
tt0067100;movie;Firecracker;Firecracker;False;1981;;77.0;['Action', 'Drama', 'Thriller']
tt0067625;movie;Trial on the Road;Proverka na dorogakh;False;1986;;96.0;['Drama', 'War']
tt0067694;movie;Die Russen kommen;Die Russen kommen;False;1987;;92.0;['Drama', 'War']
tt0068958;movie;El misterio de Cynthia Baird;El misterio de Cynthia Baird;False;1985;;82.0;['Horror']
tt0071261;movie;Bástyasétány hetvennégy;Bástyasétány hetvennégy;False;1984;;76.0;['Comedy', 'Drama']
tt0071560;movie;Evil Town;Evil Town;False;1987;;82.0;['Horror']
tt0072173;movie;Malibu Hot Summer;Malibu Hot Summer;False;1981;;90.0;['Comedy', 'Romance']
tt0073265;movie;Lao Shan gui lian;Lao Shan gui lian;False;1984;;;['Horror']
tt0073537;movie;Double Exposure;Double Exposure;False;1982;;95.0;['Crime', 'Horror']
tt0073604;movie;Rana: The Legend of Shadow Lake;Rana: The Legend of Shadow Lake;False;1980;;96.0;['Adventure', 'Horror', 'Sci-Fi']
tt0073706;movie;Shocking Asia;Shocking Asia;False;1981;;94.0;['Documentary', 'Horror']
tt0074858;movie;Manthan;Manthan;False;1980;;134.0;['Drama']
tt0074994;movie;Tempyo no iraka;Tempyo no iraka;False;1980;;120.0;['Horror']
tt0075006;movie;The Treasure Seekers;The Treasure Seekers;False;1980;;88.0;['Action', 'Adventure']
tt0075035;movie;Panic;Bakterion;False;1982;;93.0;['Horror', 'Sci-Fi']
tt0075187;movie;Six Tickets to Hell;Seis pasajes al infierno;False;1981;;90.0;['Drama', 'Horror']
tt0075332;movie;Zärtlich, aber frech wie Oskar;Zärtlich, aber frech wie Oskar;False;1980;;87.0;['Comedy']
tt0075631;movie;Acto dos Feitos da Guiné;Acto dos Feitos da Guiné;False;1980;;81.0;['Drama', 'History']
tt0075745;movie;Beyond Reason;Beyond Reason;False;1985;;88.0;['Drama']
tt0075816;movie;Chaste and Pure;Casta e pura;False;1981;;88.0;['Comedy']
tt0075859;movie;The Clones of Bruce Lee;Shen wei san meng long;False;1980;;91.0;['Action', 'Drama']
tt0076041;movie;Flush;Flush;False;1982;;90.0;['Comedy']
