;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
0;tt0036606;movie;Another Time, Another Place;Another Time, Another Place;False;1983;;118.0;['Drama', 'War'];6.5;326.0
1;tt0038687;movie;Let There Be Light;Let There Be Light;False;1980;;58.0;['Documentary', 'War'];7.5;1893.0
2;tt0057461;movie;La rosa de los vientos;La rosa de los vientos;False;1983;;84.0;['Drama', 'Fantasy'];4.6;22.0
3;tt0062181;movie;Rece do góry;Rece do góry;False;1981;;76.0;['Drama'];6.6;357.0
4;tt0064820;movie;The Plot Against Harry;The Plot Against Harry;False;1989;;81.0;['Comedy', 'Crime'];6.9;334.0
5;tt0065108;movie;Tolko tri nochi;Tolko tri nochi;False;1989;;82.0;['Drama', 'Romance'];6.8;22.0
6;tt0065530;movie;Le cercle des passions;Le cercle des passions;False;1983;;108.0;['Drama'];6.8;56.0
7;tt0066020;movie;Lucky Seven;7 xiao fu;False;1986;;80.0;['Action', 'Comedy'];6.6;276.0
8;tt0066151;movie;Ninja Destroyer;Ninja Destroyer;False;1986;;92.0;['Action', 'Adventure'];4.1;97.0
9;tt0067100;movie;Firecracker;Firecracker;False;1981;;77.0;['Action', 'Drama', 'Thriller'];5.5;711.0
10;tt0067625;movie;Trial on the Road;Proverka na dorogakh;False;1986;;96.0;['Drama', 'War'];7.9;2345.0
11;tt0067694;movie;Die Russen kommen;Die Russen kommen;False;1987;;92.0;['Drama', 'War'];6.7;89.0
12;tt0068958;movie;El misterio de Cynthia Baird;El misterio de Cynthia Baird;False;1985;;82.0;['Horror'];3.9;22.0
13;tt0071261;movie;Bástyasétány hetvennégy;Bástyasétány hetvennégy;False;1984;;76.0;['Comedy', 'Drama'];7.1;83.0
14;tt0071560;movie;Evil Town;Evil Town;False;1987;;82.0;['Horror'];3.9;331.0
15;tt0072173;movie;Malibu Hot Summer;Malibu Hot Summer;False;1981;;90.0;['Comedy', 'Romance'];2.7;832.0
16;tt0073265;movie;Lao Shan gui lian;Lao Shan gui lian;False;1984;;;['Horror'];;
17;tt0073537;movie;Double Exposure;Double Exposure;False;1982;;95.0;['Crime', 'Horror'];4.9;749.0
18;tt0073604;movie;Rana: The Legend of Shadow Lake;Rana: The Legend of Shadow Lake;False;1980;;96.0;['Adventure', 'Horror', 'Sci-Fi'];3.1;550.0
19;tt0073706;movie;Shocking Asia;Shocking Asia;False;1981;;94.0;['Documentary', 'Horror'];5.5;592.0
20;tt0074858;movie;Manthan;Manthan;False;1980;;134.0;['Drama'];7.6;634.0
21;tt0074994;movie;Tempyo no iraka;Tempyo no iraka;False;1980;;120.0;['Horror'];6.3;17.0
22;tt0075006;movie;The Treasure Seekers;The Treasure Seekers;False;1980;;88.0;['Action', 'Adventure'];5.5;108.0
23;tt0075035;movie;Panic;Bakterion;False;1982;;93.0;['Horror', 'Sci-Fi'];3.5;763.0
24;tt0075187;movie;Six Tickets to Hell;Seis pasajes al infierno;False;1981;;90.0;['Drama', 'Horror'];4.6;12.0
25;tt0075332;movie;Zärtlich, aber frech wie Oskar;Zärtlich, aber frech wie Oskar;False;1980;;87.0;['Comedy'];3.9;77.0
26;tt0075631;movie;Acto dos Feitos da Guiné;Acto dos Feitos da Guiné;False;1980;;81.0;['Drama', 'History'];;
27;tt0075745;movie;Beyond Reason;Beyond Reason;False;1985;;88.0;['Drama'];4.8;77.0
28;tt0075816;movie;Chaste and Pure;Casta e pura;False;1981;;88.0;['Comedy'];4.5;204.0
29;tt0075859;movie;The Clones of Bruce Lee;Shen wei san meng long;False;1980;;91.0;['Action', 'Drama'];4.2;391.0
30;tt0076041;movie;Flush;Flush;False;1982;;90.0;['Comedy'];4.7;90.0
31;tt0076043;movie;Fontamara;Fontamara;False;1980;;139.0;['Drama'];7.1;63.0
32;tt0076276;movie;Who's Singin' Over There?;Ko to tamo peva;False;1980;;86.0;['Adventure', 'Comedy', 'Drama'];8.8;15561.0
33;tt0076321;movie;The Six Directions of Boxing;Liu he ba fa;False;1980;;90.0;['Action', 'Drama'];6.3;49.0
34;tt0076396;movie;Mister Deathman;Mister Deathman;False;1983;;93.0;['Action'];5.4;87.0
35;tt0076426;movie;Music of the Spheres;Music of the Spheres;False;1984;;72.0;['Sci-Fi'];6.8;97.0
36;tt0076464;movie;You ni mei ni;You ni mei ni;False;1980;;;['Comedy'];;
37;tt0076580;movie;Qian zuo guai;Qian zuo guai;False;1980;;101.0;['Action', 'Adventure', 'Comedy'];5.6;125.0
38;tt0076709;movie;Game of Death II;Si wang ta;False;1980;;96.0;['Action', 'Crime', 'Mystery'];5.1;3282.0
39;tt0076900;movie;Vtoraya popytka Viktora Krokhina;Vtoraya popytka Viktora Krokhina;False;1987;;98.0;['Drama', 'Sport'];7.0;30.0
40;tt0076917;movie;Whitewater Sam;Whitewater Sam;False;1982;;85.0;['Adventure', 'Western'];5.6;31.0
41;tt0077173;movie;Las apariencias engañan;Las apariencias engañan;False;1983;;109.0;['Comedy'];6.4;34.0
42;tt0077329;movie;Avenging Dragon;Bing xue qing guan ying xiong dan;False;1983;;92.0;['Action', 'Drama'];6.1;51.0
43;tt0077366;movie;Constelaciones;Constelaciones;False;1980;;85.0;['Drama'];6.9;18.0
44;tt0077367;movie;Consultorio sexológico;Consultorio sexológico;False;1980;;90.0;['Comedy'];4.9;14.0
45;tt0077389;movie;D.F./Distrito Federal;D.F./Distrito Federal;False;1981;;115.0;['Comedy', 'Drama'];5.8;48.0
46;tt0077428;movie;It Rained All Night the Day I Left;It Rained All Night the Day I Left;False;1980;;95.0;['Comedy', 'Crime'];4.2;134.0
47;tt0077472;movie;Dragon Lee Fights Again;Jie quan da dong kau;False;1981;;87.0;['Action', 'Drama'];5.6;74.0
48;tt0077484;movie;Editie speciala;Editie speciala;False;1980;;97.0;['Drama'];6.8;51.0
49;tt0077567;movie;The Sleep of Death;The Sleep of Death;False;1980;;90.0;['Horror'];5.4;108.0
50;tt0077634;movie;The Great Skycopter Rescue;The Great Skycopter Rescue;False;1980;;96.0;['Action', 'Adventure'];4.8;52.0
51;tt0077645;movie;Challenge of the Tiger;Mie jue qi qi;False;1980;;87.0;['Action', 'Thriller'];5.1;389.0
52;tt0077648;movie;Habibi, amor mío;Habibi, amor mío;False;1981;;95.0;['Drama', 'Romance'];6.9;24.0
53;tt0077722;movie;A Ilha dos Amores;A Ilha dos Amores;False;1982;;170.0;['Biography', 'Drama', 'Romance'];7.4;87.0
54;tt0077731;movie;Messo comunale praticamente spione;Messo comunale praticamente spione;False;1982;;90.0;['Comedy'];3.6;220.0
55;tt0077772;movie;The Executor;Zhi fa zhe;False;1981;;95.0;['Crime'];3.9;70.0
56;tt0077883;movie;Love Between the Raindrops;Lásky mezi kapkami deste;False;1980;;126.0;['Comedy', 'Drama', 'Romance'];7.5;229.0
57;tt0077885;movie;Mademoiselle;Mademoiselle;False;1982;;97.0;['Comedy', 'Romance'];4.3;11.0
58;tt0077960;movie;Las muñecas del King Kong;Las muñecas del King Kong;False;1981;;83.0;['Drama'];5.5;28.0
59;tt0078053;movie;Two Female Spies with Flowered Panties;Ópalo de fuego: Mercaderes del sexo;False;1980;;96.0;['Thriller'];4.5;292.0
60;tt0078075;movie;Wire Dog;Perro de alambre;False;1980;;113.0;['Drama'];;
61;tt0078113;movie;Primitif;Primitif;False;1980;;90.0;['Adventure', 'Horror'];3.6;564.0
62;tt0078178;movie;Le rose et le blanc;Le rose et le blanc;False;1982;;100.0;['Comedy', 'Drama'];;
63;tt0078296;movie;Son o no son;Son o no son;False;1980;;84.0;['Comedy', 'Musical'];;
64;tt0078304;movie;Sowizdrzal swietokrzyski;Sowizdrzal swietokrzyski;False;1980;;97.0;['Comedy', 'Drama'];7.2;11.0
65;tt0078349;movie;Swan Lake;Sekai meisaku dôwa: Hakuchô no mizûmi;False;1981;;75.0;['Adventure', 'Animation', 'Family'];7.6;884.0
66;tt0078356;movie;Tusk;Tusk;False;1980;;119.0;['Drama'];4.8;530.0
67;tt0078376;movie;Tennessee Stallion;Tennessee Stallion;False;1982;;87.0;['Action', 'Adventure', 'Drama'];5.8;9.0
68;tt0078393;movie;Bastard Swordsman;Tian can bian;False;1983;;89.0;['Action', 'Mystery'];7.0;391.0
69;tt0078411;movie;Totul pentru fotbal;Totul pentru fotbal;False;1982;;98.0;['Comedy', 'Sport'];7.2;96.0
70;tt0078428;movie;Two Champions of Death;Shao Lin yu Wu Dang;False;1980;;101.0;['Action', 'Drama'];6.3;728.0
71;tt0078508;movie;Wolf Lake;Wolf Lake;False;1980;;88.0;['Drama', 'Thriller'];6.2;365.0
72;tt0078519;movie;Zapowiedz ciszy;Zapowiedz ciszy;False;1980;;98.0;['Drama'];4.5;14.0
73;tt0078546;movie;Ángela Morante, ¿crimen o suicidio?;Ángela Morante, ¿crimen o suicidio?;False;1981;;98.0;['Drama', 'Mystery'];5.6;23.0
74;tt0078726;movie;The Eight Escorts;Ba jue;False;1980;;;['Action', 'Mystery'];5.4;40.0
75;tt0078732;movie;Action;Action;False;1980;;121.0;['Drama'];4.6;363.0
76;tt0078749;movie;Alien 2: On Earth;Alien 2 - Sulla Terra;False;1980;;92.0;['Adventure', 'Horror', 'Sci-Fi'];3.6;1506.0
77;tt0078751;movie;Alison's Birthday;Alison's Birthday;False;1981;;99.0;['Horror', 'Mystery'];5.7;807.0
78;tt0078765;movie;The American Success Company;The American Success Company;False;1980;;91.0;['Comedy', 'Drama'];5.5;376.0
79;tt0078769;movie;Amor, palavra prostituta;Amor, palavra prostituta;False;1982;;92.0;['Drama'];6.7;67.0
80;tt0078780;movie;Animalympics;Animalympics;False;1980;;78.0;['Animation', 'Comedy', 'Family'];6.8;2158.0
81;tt0078785;movie;Anthracite;Anthracite;False;1980;;90.0;['Drama'];6.2;39.0
82;tt0078791;movie;Aquella casa en las afueras;Aquella casa en las afueras;False;1980;;95.0;['Horror', 'Thriller'];6.1;105.0
83;tt0078805;movie;Outrage;Attentatet;False;1980;;75.0;['Thriller'];5.5;14.0
84;tt0078806;movie;The Attic;The Attic;False;1980;;101.0;['Horror', 'Thriller'];5.6;763.0
85;tt0078813;movie;The Miser;L'avare;False;1980;;125.0;['Comedy'];6.6;4684.0
86;tt0078833;movie;The Lion Carpenter;Der Baulöwe;False;1980;;93.0;['Comedy'];6.6;83.0
87;tt0078834;movie;Beach House;Beach House;False;1982;;76.0;['Comedy'];4.9;89.0
88;tt0078842;movie;Békeidö;Békeidö;False;1980;;105.0;['Drama'];7.4;30.0
89;tt0078853;movie;Carnapping;Car-Napping - Bestellt, geklaut, geliefert;False;1980;;89.0;['Comedy', 'Crime'];6.2;226.0
90;tt0078858;movie;Bezotvetnaya lyubov;Bezotvetnaya lyubov;False;1980;;92.0;['Drama'];6.3;16.0
91;tt0078868;movie;Confidence;Bizalom;False;1980;;105.0;['Drama'];7.5;873.0
92;tt0078871;movie;The Queen of Black Magic;Ratu ilmu hitam;False;1981;;90.0;['Drama', 'Horror'];6.2;497.0
93;tt0078873;movie;Blank Generation;Blank Generation;False;1980;;79.0;['Drama', 'Music'];4.7;411.0
94;tt0078876;movie;Ion: Blestemul pamîntului, blestemul iubirii;Ion: Blestemul pamîntului, blestemul iubirii;False;1980;;205.0;['Drama', 'History'];8.1;562.0
95;tt0078880;movie;Bloodrage;Bloodrage;False;1980;;78.0;['Crime', 'Horror', 'Thriller'];4.7;333.0
96;tt0078892;movie;Bolívar, a Tropical Symphony;Bolívar, sinfonía tropikal;False;1982;;75.0;['Biography', 'Drama'];7.3;27.0
97;tt0078894;movie;Les bons débarras;Les bons débarras;False;1980;;120.0;['Drama'];8.0;733.0
98;tt0078895;movie;Border Cop;The Border;False;1980;;87.0;['Drama', 'Thriller'];4.7;344.0
99;tt0078906;movie;Brontosaurus;Brontosaurus;False;1980;;71.0;['Family'];6.8;59.0
100;tt0078918;movie;The Bushido Blade;The Bushido Blade;False;1981;;104.0;['Action', 'Drama', 'History'];5.3;412.0
101;tt0078920;movie;Barbara;Barbara;False;1980;;136.0;['Drama'];6.1;18.0
102;tt0078923;movie;It's Not Me, It's Him;C'est pas moi, c'est lui;False;1980;;105.0;['Comedy'];5.4;619.0
103;tt0078926;movie;The Good Thief;Il ladrone;False;1980;;108.0;['Comedy'];6.8;522.0
104;tt0078932;movie;La campanada;La campanada;False;1980;;95.0;['Drama'];3.8;11.0
105;tt0078935;movie;Cannibal Holocaust;Cannibal Holocaust;False;1980;;95.0;['Adventure', 'Horror'];5.8;56143.0
106;tt0078936;movie;White Cannibal Queen;Mondo cannibale;False;1980;;90.0;['Horror'];3.3;992.0
107;tt0078941;movie;Carlos el terrorista;Carlos el terrorista;False;1980;;97.0;['Action', 'Crime', 'Drama'];5.9;56.0
108;tt0078948;movie;Dark Sun;Temné slunce;False;1980;;135.0;['Crime', 'Drama', 'Sci-Fi'];5.2;52.0
109;tt0078962;movie;The Horse of Pride;Le cheval d'orgueil;False;1980;;120.0;['Drama'];6.2;269.0
110;tt0078973;movie;Cinco tenedores;Cinco tenedores;False;1980;;90.0;['Comedy'];5.9;75.0
111;tt0078983;movie;Colargol i cudowna walizka;Colargol i cudowna walizka;False;1980;;75.0;['Animation', 'Family'];6.5;25.0
112;tt0078994;movie;El consenso;El consenso;False;1980;;89.0;['Comedy'];4.4;31.0
113;tt0079007;movie;The Cuenca Crime;El crimen de Cuenca;False;1980;;88.0;['Drama', 'History'];7.2;674.0
114;tt0079014;movie;Cuentos eróticos;Cuentos eróticos;False;1980;;99.0;['Comedy', 'Drama', 'Romance'];4.1;117.0
115;tt0079017;movie;The Semester We Loved Kim Novak;El curso en que amamos a Kim Novak;False;1980;;86.0;['Comedy', 'Drama'];5.6;31.0
116;tt0079052;movie;Dimas de Leon;Dimas de Leon;False;1980;;;['Action', 'Crime', 'Drama'];;
117;tt0079084;movie;Droga daleka przed nami...;Droga daleka przed nami...;False;1980;;91.0;['Drama', 'War'];5.1;11.0
118;tt0079085;movie;Drsna planina;Drsna planina;False;1980;;89.0;['Adventure', 'Drama'];5.7;25.0
119;tt0079090;movie;The Conductor;Dyrygent;False;1980;;101.0;['Drama', 'Music'];6.9;629.0
120;tt0079093;movie;Coward Bastard;E ye;False;1980;;88.0;['Action', 'Comedy'];4.9;69.0
121;tt0079104;movie;Emanuelle, Queen of Sados;I mavri Emmanouella;False;1980;;91.0;['Crime', 'Drama'];4.4;701.0
122;tt0079106;movie;The Imprint of Giants;L'empreinte des géants;False;1980;;141.0;['Action', 'Drama', 'Romance'];6.0;61.0
123;tt0079115;movie;Escape from Hell;Femmine infernali;False;1980;;93.0;['Adventure', 'Crime', 'Thriller'];4.8;524.0
124;tt0079120;movie;Stigma;Estigma;False;1980;;94.0;['Horror', 'Mystery', 'Thriller'];5.3;256.0
125;tt0079145;movie;La femme flic;La femme flic;False;1980;;103.0;['Drama', 'Thriller'];6.5;322.0
126;tt0079151;movie;Los fieles sirvientes;Los fieles sirvientes;False;1980;;88.0;['Comedy'];5.9;46.0
127;tt0079164;movie;The Buddha Assassinator;Fo zhang huang ye;False;1980;;93.0;['Action', 'Drama'];5.8;101.0
128;tt0079172;movie;Frak dlya shalopaya;Frak dlya shalopaya;False;1980;;69.0;['Adventure', 'Family'];6.2;16.0
129;tt0079181;movie;Fuego en el mar;Fuego en el mar;False;1981;;111.0;['Drama', 'Thriller'];6.8;22.0
130;tt0079186;movie;Fábián Bálint találkozása Istennel;Fábián Bálint találkozása Istennel;False;1980;;105.0;['Drama'];7.4;103.0
131;tt0079192;movie;Hoodlums;Hoodlums;False;1980;;90.0;['Crime', 'Drama'];5.2;50.0
132;tt0079193;movie;The Garage;Garazh;False;1980;;96.0;['Comedy', 'Drama'];8.1;3848.0
133;tt0079197;movie;Caged Women;Gefangene Frauen;False;1980;;80.0;['Action', 'Adventure'];4.6;493.0
134;tt0079198;movie;The Frozen Heart;Das gefrorene Herz;False;1980;;108.0;['Comedy', 'Drama'];7.5;125.0
135;tt0079208;movie;Gibbi Westgermany;Gibbi Westgermany;False;1980;;88.0;['Drama'];7.2;18.0
136;tt0079213;movie;Glück im Hinterhaus;Glück im Hinterhaus;False;1980;;97.0;['Drama', 'Family'];6.6;48.0
137;tt0079233;movie;Unos granujas decentes;Unos granujas decentes;False;1980;;88.0;['Comedy'];4.6;29.0
138;tt0079246;movie;Guaguasi;Guaguasi;False;1983;;107.0;['Comedy', 'Drama', 'War'];6.7;69.0
139;tt0079252;movie;Le Guignolo;Le guignolo;False;1980;;108.0;['Action', 'Comedy'];5.9;2250.0
140;tt0079256;movie;HealtH;HealtH;False;1980;;105.0;['Comedy'];5.6;849.0
141;tt0079258;movie;Foam Bath;Habfürdö;False;1980;;79.0;['Animation', 'Comedy', 'Drama'];7.2;377.0
142;tt0079260;movie;Haine;Haine;False;1980;;87.0;['Drama', 'Thriller'];5.2;207.0
143;tt0079285;movie;Saturn 3;Saturn 3;False;1980;;88.0;['Adventure', 'Horror', 'Sci-Fi'];5.1;9632.0
144;tt0079293;movie;Phoenix 2772;Hi no tori 2772: Ai no kosumozôn;False;1980;;122.0;['Adventure', 'Animation', 'Drama'];6.8;537.0
145;tt0079295;movie;Hijos de tigre;Hijos de tigre;False;1980;;95.0;['Action', 'Drama'];5.6;7.0
146;tt0079298;movie;Hogyan felejtsük el életünk legnagyobb szerelmét...?;Hogyan felejtsük el életünk legnagyobb szerelmét...?;False;1980;;;['Comedy', 'Drama'];5.8;10.0
147;tt0079309;movie;Hot T-Shirts;Hot T-Shirts;False;1980;;86.0;['Comedy'];3.5;296.0
148;tt0079323;movie;Ich bin dein Killer;Ich bin dein Killer;False;1982;;87.0;['Thriller'];5.3;14.0
149;tt0079341;movie;El infierno de todos tan temido;El infierno de todos tan temido;False;1981;;108.0;['Drama', 'Thriller'];7.1;47.0
150;tt0079342;movie;L'insegnante al mare con tutta la classe;L'insegnante al mare con tutta la classe;False;1980;;88.0;['Comedy'];5.3;236.0
151;tt0079346;movie;La insurrección;La insurrección;False;1980;;101.0;['Drama'];6.7;46.0
152;tt0079358;movie;Jade Dagger Ninja;Han shan fei hu;False;1982;;90.0;['Action', 'Drama'];6.7;81.0
