;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region
0;tt0036606;Another Time, Another Place;Another Time, Another Place;1983;118.0;['Drama', 'War'];US
1;tt0038687;Let There Be Light;Let There Be Light;1980;58.0;['Documentary', 'War'];US
2;tt0062181;Rece do góry;Rece do góry;1981;76.0;['Drama'];FR
3;tt0064820;The Plot Against Harry;The Plot Against Harry;1989;81.0;['Comedy', 'Crime'];US
4;tt0065530;Le cercle des passions;Le cercle des passions;1983;108.0;['Drama'];FR
5;tt0066151;Ninja Destroyer;Ninja Destroyer;1986;92.0;['Action', 'Adventure'];FR
6;tt0067100;Firecracker;Firecracker;1981;77.0;['Action', 'Drama', 'Thriller'];US
7;tt0067625;Trial on the Road;Proverka na dorogakh;1986;96.0;['Drama', 'War'];US
8;tt0067694;Die Russen kommen;Die Russen kommen;1987;92.0;['Drama', 'War'];US
9;tt0071261;Bástyasétány hetvennégy;Bástyasétány hetvennégy;1984;76.0;['Comedy', 'Drama'];US
10;tt0071560;Evil Town;Evil Town;1987;82.0;['Horror'];US
11;tt0072173;Malibu Hot Summer;Malibu Hot Summer;1981;90.0;['Comedy', 'Romance'];US
12;tt0073537;Double Exposure;Double Exposure;1982;95.0;['Crime', 'Horror'];US
13;tt0073604;Rana: The Legend of Shadow Lake;Rana: The Legend of Shadow Lake;1980;96.0;['Adventure', 'Horror', 'Sci-Fi'];US
14;tt0073706;Shocking Asia;Shocking Asia;1981;94.0;['Documentary', 'Horror'];US
15;tt0074858;Manthan;Manthan;1980;134.0;['Drama'];GB
16;tt0075006;The Treasure Seekers;The Treasure Seekers;1980;88.0;['Action', 'Adventure'];US
17;tt0075035;Panic;Bakterion;1982;93.0;['Horror', 'Sci-Fi'];US
18;tt0075745;Beyond Reason;Beyond Reason;1985;88.0;['Drama'];US
19;tt0075816;Chaste and Pure;Casta e pura;1981;88.0;['Comedy'];US
20;tt0075859;The Clones of Bruce Lee;Shen wei san meng long;1980;91.0;['Action', 'Drama'];GB
21;tt0076041;Flush;Flush;1982;90.0;['Comedy'];US
22;tt0076043;Fontamara;Fontamara;1980;139.0;['Drama'];FR
23;tt0076276;Who's Singin' Over There?;Ko to tamo peva;1980;86.0;['Adventure', 'Comedy', 'Drama'];US
24;tt0076396;Mister Deathman;Mister Deathman;1983;93.0;['Action'];US
25;tt0076426;Music of the Spheres;Music of the Spheres;1984;72.0;['Sci-Fi'];GB
26;tt0076709;Game of Death II;Si wang ta;1980;96.0;['Action', 'Crime', 'Mystery'];US
27;tt0076917;Whitewater Sam;Whitewater Sam;1982;85.0;['Adventure', 'Western'];US
28;tt0077329;Avenging Dragon;Bing xue qing guan ying xiong dan;1983;92.0;['Action', 'Drama'];US
29;tt0077428;It Rained All Night the Day I Left;It Rained All Night the Day I Left;1980;95.0;['Comedy', 'Crime'];US
30;tt0077472;Dragon Lee Fights Again;Jie quan da dong kau;1981;87.0;['Action', 'Drama'];US
31;tt0077567;The Sleep of Death;The Sleep of Death;1980;90.0;['Horror'];US
32;tt0077634;The Great Skycopter Rescue;The Great Skycopter Rescue;1980;96.0;['Action', 'Adventure'];US
33;tt0077645;Challenge of the Tiger;Mie jue qi qi;1980;87.0;['Action', 'Thriller'];US
34;tt0077722;A Ilha dos Amores;A Ilha dos Amores;1982;170.0;['Biography', 'Drama', 'Romance'];US
35;tt0077731;Messo comunale praticamente spione;Messo comunale praticamente spione;1982;90.0;['Comedy'];US
36;tt0077772;The Executor;Zhi fa zhe;1981;95.0;['Crime'];US
37;tt0077883;Love Between the Raindrops;Lásky mezi kapkami deste;1980;126.0;['Comedy', 'Drama', 'Romance'];US
38;tt0077885;Mademoiselle;Mademoiselle;1982;97.0;['Comedy', 'Romance'];US
39;tt0078053;Two Female Spies with Flowered Panties;Ópalo de fuego: Mercaderes del sexo;1980;96.0;['Thriller'];US
40;tt0078113;Primitif;Primitif;1980;90.0;['Adventure', 'Horror'];US
41;tt0078178;Le rose et le blanc;Le rose et le blanc;1982;100.0;['Comedy', 'Drama'];FR
42;tt0078349;Swan Lake;Sekai meisaku dôwa: Hakuchô no mizûmi;1981;75.0;['Adventure', 'Animation', 'Family'];US
43;tt0078356;Tusk;Tusk;1980;119.0;['Drama'];US
44;tt0078376;Tennessee Stallion;Tennessee Stallion;1982;87.0;['Action', 'Adventure', 'Drama'];US
45;tt0078393;Bastard Swordsman;Tian can bian;1983;89.0;['Action', 'Mystery'];FR
46;tt0078428;Two Champions of Death;Shao Lin yu Wu Dang;1980;101.0;['Action', 'Drama'];US
47;tt0078508;Wolf Lake;Wolf Lake;1980;88.0;['Drama', 'Thriller'];US
48;tt0078726;The Eight Escorts;Ba jue;1980;;['Action', 'Mystery'];FR
49;tt0078732;Action;Action;1980;121.0;['Drama'];US
50;tt0078749;Alien 2: On Earth;Alien 2 - Sulla Terra;1980;92.0;['Adventure', 'Horror', 'Sci-Fi'];US
